StockCode,TimePeriod,AvgQuantity,AvgUnitPrice,AvgRevenue,TotalQuantity,TotalRevenue,Description
10002,1,8.366666666666667,1.201,7.813666666666666,251,234.41,INFLATABLE POLITICAL GLOBE 
10002,2,16.19047619047619,0.9628571428571429,13.874761904761906,340,291.37,INFLATABLE POLITICAL GLOBE 
10002,3,7.428571428571429,1.0728571428571427,6.5371428571428565,52,45.76,INFLATABLE POLITICAL GLOBE 
10002,4,3.5,1.1425,3.4625,28,27.7,INFLATABLE POLITICAL GLOBE 
10002,5,37.8,0.85,32.13,189,160.65,INFLATABLE POLITICAL GLOBE 
10080,3,2.0,0.85,1.7,2,1.7,GROOVY CACTUS INFLATABLE
10080,7,30.0,0.39,11.7,60,23.4,GROOVY CACTUS INFLATABLE
10080,8,12.0,0.39,4.68,24,9.36,GROOVY CACTUS INFLATABLE
10080,9,15.0,0.39,5.85,60,23.4,GROOVY CACTUS INFLATABLE
10080,10,15.0,0.39,5.85,60,23.4,GROOVY CACTUS INFLATABLE
10080,11,2.0,0.38999999999999996,0.7799999999999999,6,2.34,GROOVY CACTUS INFLATABLE
10080,12,15.166666666666666,0.38999999999999996,5.914999999999999,91,35.489999999999995,GROOVY CACTUS INFLATABLE
10120,1,4.0,0.21,0.84,16,3.36,DOGGY RUBBER
10120,3,30.0,0.21,6.3,30,6.3,DOGGY RUBBER
10120,4,5.8,0.21000000000000002,1.218,29,6.09,DOGGY RUBBER
10120,6,1.5,0.21,0.315,3,0.63,DOGGY RUBBER
10120,8,5.0,0.21,1.05,5,1.05,DOGGY RUBBER
10120,9,17.5,0.21,3.675,35,7.35,DOGGY RUBBER
10120,10,2.5,0.21,0.525,10,2.1,DOGGY RUBBER
10120,11,5.0,0.21,1.05,10,2.1,DOGGY RUBBER
10120,12,6.125,0.21,1.28625,49,10.29,DOGGY RUBBER
10125,1,14.0,0.95,8.26,154,90.86,MINI FUNKY DESIGN TAPES
10125,2,7.607142857142857,0.7039285714285715,3.9160714285714286,213,109.65,MINI FUNKY DESIGN TAPES
10125,4,9.5,0.98,8.205,114,98.46,MINI FUNKY DESIGN TAPES
10125,5,13.666666666666666,0.85,11.616666666666667,82,69.7,MINI FUNKY DESIGN TAPES
10125,6,17.833333333333332,0.85,15.158333333333333,107,90.95,MINI FUNKY DESIGN TAPES
10125,7,5.0,1.11,4.77,15,14.309999999999999,MINI FUNKY DESIGN TAPES
10125,8,16.09090909090909,0.9209090909090908,13.74818181818182,177,151.23000000000002,MINI FUNKY DESIGN TAPES
10125,9,21.25,0.85,18.0625,85,72.25,MINI FUNKY DESIGN TAPES
10125,10,52.5,0.85,44.625,210,178.5,MINI FUNKY DESIGN TAPES
10125,11,10.2,1.0059999999999998,8.825999999999999,51,44.129999999999995,MINI FUNKY DESIGN TAPES
10125,12,31.0,0.85,26.35,62,52.7,MINI FUNKY DESIGN TAPES
10133,1,8.666666666666666,0.8153333333333334,5.684666666666667,130,85.27,COLOURING PENCILS BROWN TUBE
10133,2,8.571428571428571,0.7495238095238095,5.420952380952381,180,113.84,COLOURING PENCILS BROWN TUBE
10133,3,6.5,0.98,5.785,39,34.71,COLOURING PENCILS BROWN TUBE
10133,4,11.857142857142858,0.85,10.078571428571427,83,70.55,COLOURING PENCILS BROWN TUBE
10133,5,25.333333333333332,1.11,21.793333333333333,76,65.38,COLOURING PENCILS BROWN TUBE
10133,6,8.25,0.85,7.0125,33,28.05,COLOURING PENCILS BROWN TUBE
10133,7,12.523809523809524,0.5669047619047619,6.347619047619048,526,266.6,COLOURING PENCILS BROWN TUBE
10133,8,15.660377358490566,0.5824528301886792,7.861509433962263,830,416.65999999999997,COLOURING PENCILS BROWN TUBE
10133,9,20.07894736842105,0.5926315789473684,9.760263157894736,763,370.89,COLOURING PENCILS BROWN TUBE
10133,10,23.0,0.5566666666666666,10.252222222222223,207,92.27,COLOURING PENCILS BROWN TUBE
10135,1,13.258064516129032,1.5116129032258063,9.000645161290322,411,279.02,COLOURING PENCILS BROWN TUBE
10135,2,14.595238095238095,1.0616666666666668,11.604285714285714,613,487.38,COLOURING PENCILS BROWN TUBE
10135,3,22.666666666666668,1.6691666666666667,24.690833333333334,272,296.29,COLOURING PENCILS BROWN TUBE
10135,4,11.8,1.2879999999999998,9.891,118,98.91,COLOURING PENCILS BROWN TUBE
10135,5,6.0,1.25,7.5,30,37.5,COLOURING PENCILS BROWN TUBE
10135,6,4.333333333333333,1.6533333333333333,7.433333333333334,13,22.3,COLOURING PENCILS BROWN TUBE
10135,7,6.875,1.25,8.59375,55,68.75,COLOURING PENCILS BROWN TUBE
10135,8,17.7,1.25,22.125,177,221.25,COLOURING PENCILS BROWN TUBE
10135,9,30.4,1.2120000000000002,34.2,152,171.0,COLOURING PENCILS BROWN TUBE
10135,10,6.363636363636363,1.69,9.054545454545455,70,99.6,COLOURING PENCILS BROWN TUBE
10135,11,5.0,1.6821428571428572,7.373571428571429,70,103.23,COLOURING PENCILS BROWN TUBE
10135,12,8.227272727272727,1.654090909090909,10.228181818181817,181,225.01999999999998,COLOURING PENCILS BROWN TUBE
11001,1,6.7272727272727275,2.4490909090909088,12.583636363636362,74,138.42,ASSTD DESIGN RACING CAR PEN
11001,2,11.0,2.2466666666666666,19.146666666666665,33,57.44,ASSTD DESIGN RACING CAR PEN
11001,3,13.0,2.49,29.97,26,59.94,ASSTD DESIGN RACING CAR PEN
11001,4,10.4,2.33,18.536,52,92.68,ASSTD DESIGN RACING CAR PEN
11001,5,9.0,1.69,15.21,36,60.84,ASSTD DESIGN RACING CAR PEN
11001,6,19.2,1.69,32.448,96,162.24,ASSTD DESIGN RACING CAR PEN
